CHR25.AtP.um.g40844	215	CHR25.AtP.um.g40844	233	CHR25.AtP.um.g40844	217
CHR25.AtP.um.g40845	1169	CHR25.AtP.um.g40845	1202	CHR25.AtP.um.g40845	1240
CHR25.AtP.um.g40846	221	CHR25.AtP.um.g40846	204	CHR25.AtP.um.g40846	219
CHR25.AtP.um.g40847	144	CHR25.AtP.um.g40847	121	CHR25.AtP.um.g40847	123
CHR25.AtP.um.g40848	67	CHR25.AtP.um.g40848	75	CHR25.AtP.um.g40848	61
CHR25.AtP.um.g40849	763	CHR25.AtP.um.g40849	742	CHR25.AtP.um.g40849	747
CHR25.AtP.um.g40850	38	CHR25.AtP.um.g40850	27	CHR25.AtP.um.g40850	34
CHR25.AtP.um.g40851	88	CHR25.AtP.um.g40851	58	CHR25.AtP.um.g40851	52
CHR25.AtP.um.g40852	21	CHR25.AtP.um.g40852	21	CHR25.AtP.um.g40852	15
CHR25.AtP.um.g40853	521	CHR25.AtP.um.g40853	576	CHR25.AtP.um.g40853	537
CHR25.AtP.um.g40854	59	CHR25.AtP.um.g40854	62	CHR25.AtP.um.g40854	51
CHR25.AtP.um.g40855	44	CHR25.AtP.um.g40855	37	CHR25.AtP.um.g40855	54
CHR25.AtP.um.g40856	85	CHR25.AtP.um.g40856	79	CHR25.AtP.um.g40856	77
CHR25.AtP.um.g40857	102	CHR25.AtP.um.g40857	84	CHR25.AtP.um.g40857	91
CHR25.AtP.um.g40858	126	CHR25.AtP.um.g40858	121	CHR25.AtP.um.g40858	152
CHR25.AtP.um.g40859	2	CHR25.AtP.um.g40859	1	CHR25.AtP.um.g40859	1
CHR25.AtP.um.g40860	0	CHR25.AtP.um.g40860	0	CHR25.AtP.um.g40860	0
CHR25.AtP.um.g40861	228	CHR25.AtP.um.g40861	205	CHR25.AtP.um.g40861	215
CHR25.AtP.um.g40862	309	CHR25.AtP.um.g40862	316	CHR25.AtP.um.g40862	291
CHR25.AtP.um.g40863	470	CHR25.AtP.um.g40863	464	CHR25.AtP.um.g40863	469
CHR25.AtP.um.g40864	420	CHR25.AtP.um.g40864	418	CHR25.AtP.um.g40864	442
CHR25.AtP.um.g40865	60	CHR25.AtP.um.g40865	83	CHR25.AtP.um.g40865	65
CHR25.AtP.um.g40866	38	CHR25.AtP.um.g40866	33	CHR25.AtP.um.g40866	35
CHR25.AtP.um.g40867	129	CHR25.AtP.um.g40867	157	CHR25.AtP.um.g40867	160
CHR25.AtP.um.g40868	87	CHR25.AtP.um.g40868	95	CHR25.AtP.um.g40868	93
CHR25.AtP.um.g40869	91	CHR25.AtP.um.g40869	111	CHR25.AtP.um.g40869	101
CHR25.AtP.um.g40870	102	CHR25.AtP.um.g40870	93	CHR25.AtP.um.g40870	82
CHR25.AtP.um.g40871	508	CHR25.AtP.um.g40871	524	CHR25.AtP.um.g40871	494
CHR25.AtP.um.g40872	495	CHR25.AtP.um.g40872	480	CHR25.AtP.um.g40872	538
CHR25.AtP.um.g40873	297	CHR25.AtP.um.g40873	307	CHR25.AtP.um.g40873	285
CHR25.AtP.um.g40874	74	CHR25.AtP.um.g40874	92	CHR25.AtP.um.g40874	91
CHR25.AtP.um.g40875	300	CHR25.AtP.um.g40875	310	CHR25.AtP.um.g40875	307
CHR25.AtP.um.g40876	444	CHR25.AtP.um.g40876	458	CHR25.AtP.um.g40876	492
CHR25.AtP.um.g40877	141	CHR25.AtP.um.g40877	147	CHR25.AtP.um.g40877	144
CHR25.AtP.um.g40878	126	CHR25.AtP.um.g40878	110	CHR25.AtP.um.g40878	114
CHR25.AtP.um.g40879	626	CHR25.AtP.um.g40879	596	CHR25.AtP.um.g40879	573
CHR25.AtP.um.g40880	108	CHR25.AtP.um.g40880	116	CHR25.AtP.um.g40880	90
CHR25.AtP.um.g40881	61	CHR25.AtP.um.g40881	64	CHR25.AtP.um.g40881	53
CHR25.AtP.um.g40882	446	CHR25.AtP.um.g40882	499	CHR25.AtP.um.g40882	494
CHR25.AtP.um.g40883	313	CHR25.AtP.um.g40883	319	CHR25.AtP.um.g40883	271
CHR25.AtP.um.g40884	482	CHR25.AtP.um.g40884	485	CHR25.AtP.um.g40884	464
CHR25.AtP.um.g40885	57	CHR25.AtP.um.g40885	51	CHR25.AtP.um.g40885	64
CHR25.AtP.um.g40886	189	CHR25.AtP.um.g40886	241	CHR25.AtP.um.g40886	174
CHR25.AtP.um.g40887	90	CHR25.AtP.um.g40887	75	CHR25.AtP.um.g40887	82
CHR25.AtP.um.g40888	204	CHR25.AtP.um.g40888	137	CHR25.AtP.um.g40888	148
CHR25.AtP.um.g40889	125	CHR25.AtP.um.g40889	104	CHR25.AtP.um.g40889	115
CHR25.AtP.um.g40890	88	CHR25.AtP.um.g40890	57	CHR25.AtP.um.g40890	70
CHR25.AtP.um.g40891	82	CHR25.AtP.um.g40891	79	CHR25.AtP.um.g40891	56
CHR25.AtP.um.g40892	582	CHR25.AtP.um.g40892	500	CHR25.AtP.um.g40892	540
CHR25.AtP.um.g40893	136	CHR25.AtP.um.g40893	160	CHR25.AtP.um.g40893	134
CHR25.AtP.um.g40894	37	CHR25.AtP.um.g40894	42	CHR25.AtP.um.g40894	50
CHR25.AtP.um.g40895	276	CHR25.AtP.um.g40895	234	CHR25.AtP.um.g40895	254
CHR25.AtP.um.g40896	43	CHR25.AtP.um.g40896	31	CHR25.AtP.um.g40896	38
CHR25.AtP.um.g40897	138	CHR25.AtP.um.g40897	139	CHR25.AtP.um.g40897	132
CHR25.AtP.um.g40898	285	CHR25.AtP.um.g40898	239	CHR25.AtP.um.g40898	277
CHR25.AtP.um.g40899	182	CHR25.AtP.um.g40899	183	CHR25.AtP.um.g40899	180
CHR25.AtP.um.g40900	23	CHR25.AtP.um.g40900	24	CHR25.AtP.um.g40900	24
CHR25.AtP.um.g40901	0	CHR25.AtP.um.g40901	0	CHR25.AtP.um.g40901	0
CHR25.AtP.um.g40902	154	CHR25.AtP.um.g40902	164	CHR25.AtP.um.g40902	130
CHR25.AtP.um.g40903	9	CHR25.AtP.um.g40903	10	CHR25.AtP.um.g40903	13
CHR25.AtP.um.g40904	33	CHR25.AtP.um.g40904	27	CHR25.AtP.um.g40904	10
CHR25.AtP.um.g40905	97	CHR25.AtP.um.g40905	96	CHR25.AtP.um.g40905	84
CHR25.AtP.um.g40906	209	CHR25.AtP.um.g40906	209	CHR25.AtP.um.g40906	199
